Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs,
16.11.2023,RUSSIA-GCS,247,RUS-GCS-ORDER 01 (R),762,152511,10.00-20-WIDE-(CW),FAGA,BLACK,STD,7,ARD 3001,2 LAYER ,206.3,0.246,64,15.74,"13,203.20"
,RUSSIA-GCS,247,RUS-GCS-ORDER 01 (R),762,156511,12.00-20 -(CW),FAGA,BLACK,STD,8.5,ARD 3002,2 LAYER ,252.7,0.3074,16,4.92,"4,043.20"
,RUSSIA-GCS,247,RUS-GCS-ORDER 01 (R),762,139051, 300 - 15 ,ROCKSOLID,BLACK,STD,8,-,3 LAYER ,108.1,0.1711,6,1.03,648.6
,RUSSIA-GCS,247,RUS-GCS-ORDER 01 (R),762,726321,40 x 16 x  30,RUNNERBAND (PBB),BLACK,SMOOTH,-,ARD 3010,2 LAYER ,#N/A,,20,0.00, #N/A 
,RUSSIA-GCS,247,RUS-GCS-ORDER 01 (R),762,RMSS0001,10.00-20,-,BLACK,-,-,-,-,24,0.03,32,0.96,768
,RUSSIA-GCS,247,RUS-GCS-ORDER 01 (R),762,RMSS0002,12.00-20,-,BLACK,-,-,-,-,28.5,0.04,8,0.32,228
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
