"Cavity Name","Mold Name",ICode,Description,Rim,Brand,Type,Colour,"Green Tire Weight",Order,"Plan Pcs","Plan Weight"
A1-CV1,M219,156521,"12.00 - 20 (8.50) FAGA (CW) BLACK STD",8.50,FAGA,STD,BLACK,250.80,36,2,501.6
A2-CV1,M98,135042,"8.15 - 15 (28 x 9 - 15) (7.00) ATIRE RUNNER SOLID BLACK CLIP",7.00,"RUNNER SOLID",CLIP,BLACK,61.00,11,3,183
A2-CV3,M93,135002,"8.15 - 15 (28 x 9 - 15) (7.00) ACHIEVER BLACK CLIP",7.00,ACHIEVER,CLIP,BLACK,61.02,13,1,61.02
A2-CV4,M92,135002,"8.15 - 15 (28 x 9 - 15) (7.00) ACHIEVER BLACK CLIP",7.00,ACHIEVER,CLIP,BLACK,61.02,13,3,183.06
A5-CV1,M156,111301,"6.00 - 9 (4.00) NEXEN ALLPRO BLACK STD",4.00,NEXEN,STD,BLACK,25.90,69,4,103.6
A5-CV2,M157,111301,"6.00 - 9 (4.00) NEXEN ALLPRO BLACK STD",4.00,NEXEN,STD,BLACK,25.90,69,4,103.6
A7-CV2,M133,100311,"4.00 - 8 (3.00) NEXEN BLACK STD",3.00,NEXEN,STD,BLACK,11.20,251,5,56
B2-CV2,M199,171301,"7.50 - 16 (6.00) NEXEN BLACK STD",6.50,NEXEN,STD,BLACK,71.82,134,1,71.82
B3-CV1,M3,152511,"10.00 - 20 (7.00) FAGA (WIDE ) (CW) BLACK STD",7.00,FAGA,STD,BLACK,205.70,13,2,411.4
B4-CV1,M162,119001,"6.50 - 10 (5.00) ACHIEVER BLACK STD",5.00,ACHIEVER,STD,BLACK,34.18,19,2,68.36
B4-CV3,M66,112301,"21 X 8 - 9 (6.00) NEXEN ALLPRO BLACK STD",6.00,NEXEN,STD,BLACK,33.50,115,4,134
B4-CV4,M67,112301,"21 X 8 - 9 (6.00) NEXEN ALLPRO BLACK STD",6.00,NEXEN,STD,BLACK,33.50,115,4,134
B6-CV2,M168,119041,"6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK STD",5.00,"RUNNER SOLID",STD,BLACK,35.20,79,2,70.4
B6-CV3,M169,119041,"6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK STD",5.00,"RUNNER SOLID",STD,BLACK,35.20,79,2,70.4
B6-CV4,M170,119041,"6.50 - 10 (5.00) ATIRE RUNNER SOLID BLACK STD",5.00,"RUNNER SOLID",STD,BLACK,35.20,79,2,70.4
C2-CV1,M11,110014,"140/55 x 9 (4.00) ACHIEVER PLUS NM CLIP",4.00,"ACHE +",CLIP,NM,9.91,23,4,39.64
C2-CV3,M20,101004,"15 x 4.5 - 8 (3.00) ACHIEVER NM CLIP",3.00,ACHIEVER,CLIP,NM,9.40,13,2,18.8
C4-CV1,M132,100311,"4.00 - 8 (3.00) NEXEN BLACK STD",3.00,NEXEN,STD,BLACK,11.20,251,5,56
C4-CV2,M142,102301,"5.00 - 8 (3.00) NEXEN ALLPRO BLACK STD",3.00,NEXEN,STD,BLACK,16.10,267,5,80.5
C4-CV3,M131,100311,"4.00 - 8 (3.00) NEXEN BLACK STD",3.00,NEXEN,STD,BLACK,11.20,251,5,56
C4-CV4,M144,102301,"5.00 - 8 (3.00) NEXEN ALLPRO BLACK STD",3.00,NEXEN,STD,BLACK,16.10,267,5,80.5
C4-CV5,M143,102301,"5.00 - 8 (3.00) NEXEN ALLPRO BLACK STD",3.00,NEXEN,STD,BLACK,16.10,267,5,80.5
C5-CV1,M34,104004,"18 x 7 - 8 (4.33) ACHIEVER NM CLIP",4.33,ACHIEVER,CLIP,NM,21.25,20,-149507,-3177023.75
C5-CV3,M40,104044,"18 x 7 - 8 (4.33) ATIRE RUNNER SOLID NM CLIP",4.33,"RUNNER SOLID",CLIP,NM,21.00,37,4,84
C7-CV2,M568,715074,"18 x 7 x 12 1/8 ATIRE RUNNER BAND NM TR",,POB,TR,NM,25.70,11,2,51.4
C7-CV3,M569,716073,"18 x 8 x 12 1/8 ATIRE RUNNER BAND NM SM",,POB,SM,NM,31.10,19,4,124.4
C7-CV4,M578,719073,"21 x 7 x 15 ATIRE RUNNER BAND NM SM",,POB,SM,NM,35.60,30,4,142.4
D3-CV1,M105,139054,"300 - 15 (8.00) ATIRE ROCK SOLID NM CLIP",8.00,"ROCK SOLID",CLIP,NM,110.30,15,2,220.6
F4-CV1,M8,155051,"12.00 - 20 (8.00) ATIRE ROCK SOLID BLACK STD",8.00,"ROCK SOLID",STD,BLACK,210.50,7,2,421
B7-CV1,M74,126301,"23 X 10 - 12 (8.00) NEXEN ALLPRO BLACK STD",8.00,NEXEN,STD,BLACK,50.30,184,3,150.9
B7-CV2,M100,135301,"8.15 - 15 (28 X9 - 15) (7.00) NEXEN ALLPRO BLACK STD",7.00,NEXEN,STD,BLACK,59.10,490,3,177.3
B7-CV3,M101,135301,"8.15 - 15 (28 X9 - 15) (7.00) NEXEN ALLPRO BLACK STD",7.00,NEXEN,STD,BLACK,59.10,490,3,177.3
B7-CV4,M102,135301,"8.15 - 15 (28 X9 - 15) (7.00) NEXEN ALLPRO BLACK STD",7.00,NEXEN,STD,BLACK,59.10,490,3,177.3
B8-CV1,M195,141301,"7.00 - 15 (5.50) NEXEN BLACK STD",6.00,NEXEN,STD,BLACK,57.00,168,3,171
